ret,vol,sharpe
0.08686107975845142,0.20709112783715142,0.419434094862604
0.1067516092870019,0.1376187496750919,0.7757054146984685
0.08607474819694153,0.17789195571224342,0.48385969928946837
0.10894232036990935,0.23535625376749653,0.4628826242175454
0.08852823963723208,0.20522861863096292,0.431364008722494
0.08584050423952136,0.1471728878415387,0.5832630282552176
0.05884822986431066,0.11840034676189459,0.4970275127880799
0.12352271373541504,0.24593594805597263,0.5022556267671063
0.09815650274300916,0.18903965775867618,0.5192376240350243
0.08324373510256773,0.14824280394067166,0.5615364313797164
0.07707302033410031,0.16100449406984246,0.4787010498021667
0.101784658924219,0.1715706243475396,0.5932522499774806
0.11025107583551254,0.24508285598489082,0.4498522566682895
0.11118202268669675,0.21403124269816168,0.5194663231642849
0.09190903027889713,0.14200538954838687,0.647222127069903
0.10447318597945641,0.21314599214523972,0.4901484889674463
0.10363968349680036,0.1550084436048501,0.6686066970712913
0.12694769031026085,0.1967374187725367,0.6452645922788834
0.057402531362419955,0.11291295443024425,0.508378614766318
0.09223403974676449,0.1789959933792645,0.5152854988845197
0.1300060793853535,0.23252776594597374,0.5590991633040483
0.12374370049720251,0.22448352920066938,0.5512373265772477
0.04289401602369142,0.13380590440356996,0.3205689331490143
0.11566027005491923,0.2498890056841974,0.46284657357469894
0.10857895699333507,0.2909418134864368,0.3731981858922346
0.12811863712374597,0.2120743935272259,0.6041212000792459
0.07705555765975615,0.12676930624781502,0.6078408089504258
0.056077632139643556,0.1898795695410998,0.29533262728144877
0.11329421247286058,0.1482751921759787,0.7640806989371401
0.13180421912469123,0.19919731723167208,0.6616766779614769
0.12831865081498134,0.14945511930639957,0.8585764837664334
0.07827240991768415,0.17915441410325397,0.43689914261656193
0.10896949026207994,0.17691602754940638,0.615939051828691
0.12631690108444163,0.17269158737437082,0.7314594938003814
0.1098263500368237,0.1980761013472877,0.5544654266203709
0.07624099635306585,0.15527749312129294,0.49099837214341946
0.09284127323613552,0.12242204999107213,0.7583705161194911
0.07287896616275491,0.19272614040516728,0.37814780086158417
0.11031659441224008,0.19979010909828263,0.5521624414248261
0.10154399077293244,0.17555610040916686,0.5784133421525363
0.10497128307161888,0.1600105749521723,0.6560271600986068
0.09203687897228378,0.1255685774447325,0.7329610707168577
0.09729985982354702,0.20747683036779474,0.4689673524078004
0.13662279670615954,0.25744237200989795,0.5306927357743066
