date,returns_lin,returns_log
1981-06-17,0.00885368,0.00881471
1981-06-18,-0.01260132,-0.01268139
1981-06-19,0.00478582,0.0047744
1981-06-22,-0.00241935,-0.00242228
1981-06-23,0.01061015,0.01055426
1981-06-24,-0.00517437,-0.0051878
1981-06-25,0.00113066,0.00113003
1981-06-26,-0.00188239,-0.00188416
1981-06-29,-0.0050543,-0.00506712
1981-06-30,-0.00515576,-0.00516909
1981-07-01,-0.01097479,-0.01103546
1981-07-02,-0.00870775,-0.00874588
1981-07-06,-0.00987249,-0.00992154
1981-07-07,0.00683052,0.00680729
1981-07-08,0.00062384,0.00062365
1981-07-09,0.00763712,0.00760811
1981-07-10,0.00054132,0.00054117
1981-07-13,0.00208707,0.0020849
1981-07-14,7.709e-05,7.709e-05
1981-07-15,0.0044736,0.00446362
1981-07-16,0.00084466,0.00084431
1981-07-17,0.00322233,0.00321715
1981-07-20,-0.01560105,-0.01572403
1981-07-21,-0.00295218,-0.00295655
1981-07-22,-0.00942807,-0.0094728
1981-07-23,0.00212384,0.00212159
1981-07-24,0.00832029,0.00828587
1981-07-27,0.01120961,0.01114725
1981-07-28,-0.00585061,-0.00586779
1981-07-29,0.0001549,0.00015489
1981-07-30,0.00658091,0.00655935
1981-07-31,0.00699949,0.00697511
1981-08-03,-0.00336085,-0.00336651
1981-08-04,0.00536478,0.00535044
1981-08-05,0.01135848,0.01129446
1981-08-06,-0.00022612,-0.00022614
1981-08-07,-0.00670989,-0.0067325
1981-08-10,0.00599615,0.00597825
1981-08-11,0.00988391,0.00983538
1981-08-12,-0.00336206,-0.00336773
1981-08-13,0.00082459,0.00082425
1981-08-14,-0.0076398,-0.00766913
1981-08-17,-0.00958566,-0.0096319
1981-08-18,-0.00845908,-0.00849506
1981-08-19,0.00292064,0.00291639
1981-08-20,0.00153266,0.00153149
1981-08-21,-0.01117153,-0.0112344
1981-08-24,-0.02886323,-0.02928797
1981-08-25,-0.00294823,-0.00295258
1981-08-26,-0.00135857,-0.0013595
1981-08-27,-0.01160369,-0.01167154
1981-08-28,0.00461501,0.00460439
1981-08-31,-0.01039653,-0.01045095
1981-09-01,0.00187308,0.00187133
1981-09-02,0.00382053,0.00381325
1981-09-03,-0.0182201,-0.01838813
1981-09-04,-0.00965027,-0.00969713
1981-09-08,-0.01740648,-0.01755976
1981-09-09,0.00355991,0.00355359
1981-09-10,0.01469593,0.01458899
1981-09-11,0.01223574,0.01216148
1981-09-14,-0.00781183,-0.0078425
1981-09-15,-0.00737616,-0.00740349
1981-09-16,-0.00751435,-0.00754273
1981-09-17,-0.0144696,-0.0145753
1981-09-18,-0.00759709,-0.0076261
1981-09-21,0.00842935,0.00839402
1981-09-22,-0.00477651,-0.00478795
1981-09-23,-0.00882755,-0.00886675
1981-09-24,-0.00553393,-0.0055493
1981-09-25,-0.01947661,-0.01966878
1981-09-28,0.02447461,0.02417991
1981-09-29,0.00354889,0.00354261
1981-09-30,0.00207002,0.00206788
1981-10-01,0.00774661,0.00771676
1981-10-02,0.01947385,0.01928666
1981-10-05,0.00125672,0.00125593
1981-10-06,-0.00100412,-0.00100463
1981-10-07,0.01608173,0.01595379
1981-10-08,0.00824334,0.00820955
1981-10-09,-0.00703132,-0.00705616
1981-10-12,-0.0019761,-0.00197806
1981-10-13,-0.00354756,-0.00355387
1981-10-14,-0.01639341,-0.01652927
1981-10-15,0.0076599,0.00763071
1981-10-16,-0.0043438,-0.00435326
1981-10-19,-0.00176189,-0.00176344
1981-10-20,0.01092617,0.01086691
1981-10-21,-0.00149651,-0.00149763
1981-10-22,-0.00383013,-0.00383749
1981-10-23,-0.00869275,-0.00873075
1981-10-26,-0.00370991,-0.0037168
1981-10-27,0.00956328,0.00951784
1981-10-28,0.00134124,0.00134034
1981-10-29,-0.00326496,-0.0032703
1981-10-30,0.02376954,0.02349145
1981-11-02,0.01895149,0.01877415
1981-11-03,0.00483097,0.00481934
1981-11-04,-0.00048081,-0.00048093
1981-11-05,-0.00961999,-0.00966656
1981-11-06,-0.00704228,-0.00706719
1981-11-09,0.00505423,0.0050415
1981-11-10,-0.0047855,-0.00479698
1981-11-11,0.001793,0.0017914
1981-11-12,0.00219659,0.00219418
1981-11-13,-0.0123387,-0.01241545
1981-11-16,-0.01175311,-0.01182272
1981-11-17,0.00756823,0.00753973
1981-11-18,-0.00734626,-0.00737338
1981-11-19,0.00374187,0.00373488
1981-11-20,0.00828432,0.00825019
1981-11-23,-0.00090379,-0.0009042
1981-11-24,0.01570727,0.01558518
1981-11-25,0.00437212,0.00436259
1981-11-27,0.00838366,0.00834871
1981-11-30,0.01007276,0.01002237
1981-12-01,-0.00197863,-0.00198059
1981-12-02,-0.01118157,-0.01124455
1981-12-03,0.00344855,0.00344262
1981-12-04,0.00911125,0.00906999
1981-12-07,-0.00847457,-0.00851069
1981-12-08,-0.00295553,-0.00295991
1981-12-09,0.00528764,0.00527371
1981-12-10,0.00183293,0.00183125
1981-12-11,-0.00620475,-0.00622408
1981-12-14,-0.01720965,-0.01735946
1981-12-15,0.00171037,0.00170891
1981-12-16,-0.00463452,-0.00464529
1981-12-17,0.00571806,0.00570177
1981-12-18,0.00714748,0.00712205
1981-12-21,-0.00532261,-0.00533683
1981-12-22,-0.00372952,-0.00373649
1981-12-23,-0.00463867,-0.00464946
1981-12-24,0.0018805,0.00187873
1981-12-28,-0.0022034,-0.00220583
1981-12-29,-0.00490716,-0.00491924
1981-12-30,0.00517798,0.00516462
1981-12-31,0.00204415,0.00204207
1982-01-04,0.00155035,0.00154914
1982-01-05,-0.0219162,-0.02215993
1982-01-06,-0.007247,-0.00727339
1982-01-07,-0.00209767,-0.00209987
1982-01-08,0.00521317,0.00519963
1982-01-11,-0.02317026,-0.02344291
1982-01-12,-0.00411026,-0.00411873
1982-01-13,-0.01220985,-0.012285
1982-01-14,0.00574516,0.00572872
1982-01-15,0.00683747,0.0068142
1982-01-18,0.00765064,0.00762153
1982-01-19,-0.01066371,-0.01072097
1982-01-20,-0.00603608,-0.00605437
1982-01-21,0.00416417,0.00415552
1982-01-22,-0.00319657,-0.00320169
1982-01-25,0.00026007,0.00026003
1982-01-26,-0.00190626,-0.00190808
1982-01-27,0.00477468,0.00476332
1982-01-28,0.02747538,0.02710471
1982-01-29,0.01244537,0.01236856
1982-02-01,-0.02176082,-0.02200108
1982-02-02,0.00195282,0.00195092
1982-02-03,-0.01296499,-0.01304977
1982-02-04,-0.00051515,-0.00051529
1982-02-05,0.00721529,0.00718938
1982-02-08,-0.02242883,-0.02268418
1982-02-09,-0.00828751,-0.00832204
1982-02-10,0.00862072,0.00858377
1982-02-11,-0.00200596,-0.00200797
1982-02-12,-0.00043698,-0.00043707
1982-02-16,-0.00279769,-0.00280161
1982-02-17,-0.00324386,-0.00324914
1982-02-18,0.00114344,0.00114278
1982-02-19,-0.00527147,-0.00528541
1982-02-22,-0.01439679,-0.01450143
1982-02-23,-0.00071686,-0.00071712
1982-02-24,0.01757689,0.0174242
1982-02-25,-0.00229137,-0.002294
1982-02-26,-0.0008833,-0.00088369
1982-03-01,0.00176816,0.0017666
1982-03-02,-0.00555994,-0.00557546
1982-03-03,-0.01561947,-0.01574274
1982-03-04,-0.00937614,-0.00942037
1982-03-05,-0.00491446,-0.00492658
1982-03-08,-0.01829157,-0.01846093
1982-03-09,0.01388118,0.01378572
1982-03-10,0.00532943,0.00531528
1982-03-11,-0.00045702,-0.00045713
1982-03-12,-0.00685808,-0.00688171
1982-03-15,0.00773406,0.00770431
1982-03-16,-0.0015532,-0.00155441
1982-03-17,-0.00183013,-0.00183181
1982-03-18,0.01118446,0.01112238
1982-03-19,0.00281049,0.00280655
1982-03-22,0.01952804,0.01933981
1982-03-23,0.00691679,0.00689298
1982-03-24,-0.0051079,-0.00512099
1982-03-25,0.00212444,0.00212219
1982-03-26,-0.01121806,-0.01128146
1982-03-29,0.00321601,0.00321085
1982-03-30,-0.0002672,-0.00026723
1982-03-31,-0.00276118,-0.002765
1982-04-01,0.01634514,0.016213
1982-04-02,0.01168821,0.01162043
1982-04-05,-0.00338776,-0.00339352
1982-04-06,0.00549113,0.00547611
1982-04-07,0.00086684,0.00086646
1982-04-08,0.00658238,0.00656082
1982-04-12,-0.00189297,-0.00189477
1982-04-13,-8.623e-05,-8.623e-05
1982-04-14,-0.0013794,-0.00138035
1982-04-15,0.00448931,0.00447926
1982-04-16,0.00395358,0.00394579
1982-04-19,-0.00094171,-0.00094215
1982-04-20,-0.01079687,-0.01085558
1982-04-21,0.00242549,0.00242256
1982-04-22,0.01270309,0.01262308
1982-04-23,0.01237304,0.01229712
1982-04-26,0.00522592,0.00521231
1982-04-27,-0.01056517,-0.01062138
1982-04-28,-0.00627117,-0.00629091
1982-04-29,-0.00955145,-0.00959736
1982-04-30,0.00258312,0.00257979
1982-05-03,0.00326346,0.00325815
1982-05-04,0.00547851,0.00546356
1982-05-05,0.00178783,0.00178624
1982-05-06,0.00858334,0.00854672
1982-05-07,0.00665656,0.00663451
1982-05-10,-0.00912366,-0.00916554
1982-05-11,0.00878528,0.00874691
1982-05-12,-0.00209345,-0.00209565
1982-05-13,-0.00797178,-0.00800372
1982-05-14,-0.00177634,-0.00177792
1982-05-17,-0.01101604,-0.01107717
1982-05-18,-0.0074544,-0.00748232
1982-05-19,-0.00820094,-0.00823475
1982-05-20,-0.00261122,-0.00261464
1982-05-21,0.00261806,0.00261464
1982-05-24,-0.00087038,-0.00087076
1982-05-25,-0.0033975,-0.00340329
1982-05-26,-0.01127623,-0.01134029
1982-05-27,-0.0039784,-0.00398634
1982-05-28,-0.00692354,-0.00694762
1982-06-01,-0.0017876,-0.0017892
1982-06-02,0.0032235,0.00321832
1982-06-03,-0.00160657,-0.00160786
1982-06-04,-0.01582339,-0.01594992
1982-06-07,0.00027256,0.00027253
1982-06-08,-0.00444974,-0.00445967
1982-06-09,-0.00583781,-0.00585492
1982-06-10,0.00568862,0.0056725
1982-06-11,0.01487088,0.01476139
1982-06-14,-0.01150664,-0.01157336
1982-06-15,-0.00245541,-0.00245843
1982-06-16,-0.00747561,-0.00750369
1982-06-17,-0.01166533,-0.0117339
1982-06-18,-0.00297397,-0.00297841
1982-06-21,-0.00074573,-0.00074601
1982-06-22,0.01026125,0.01020896
1982-06-23,0.01698981,0.0168471
1982-06-24,-0.00281458,-0.00281855
1982-06-25,-0.00628246,-0.00630228
1982-06-28,0.01026207,0.01020978
1982-06-29,-0.0004535,-0.0004536
1982-06-30,-0.00544414,-0.00545901
1982-07-01,-0.00821094,-0.00824484
1982-07-02,-0.00975069,-0.00979854
1982-07-06,-0.00334418,-0.00334978
1982-07-07,-0.00065243,-0.00065265
1982-07-08,0.00289123,0.00288706
1982-07-09,0.01208968,0.01201718
1982-07-12,0.00679958,0.00677656
1982-07-13,-0.00109522,-0.00109582
1982-07-14,0.00904528,0.00900461
1982-07-15,0.00027163,0.00027159
1982-07-16,0.00543132,0.00541663
1982-07-19,-0.0030611,-0.00306579
1982-07-20,0.00731507,0.00728844
1982-07-21,-0.00107587,-0.00107645
1982-07-22,0.00053855,0.0005384
1982-07-23,-0.00278081,-0.00278469
1982-07-26,-0.00728612,-0.00731279
1982-07-27,-0.00842697,-0.00846268
1982-07-28,-0.01544368,-0.01556418
1982-07-29,-0.0001856,-0.00018562
1982-07-30,-0.00584854,-0.00586571
1982-08-02,0.01764877,0.01749484
1982-08-03,-0.01055241,-0.01060848
1982-08-04,-0.01567284,-0.01579696
1982-08-05,-0.00923305,-0.00927594
1982-08-06,-0.01378856,-0.0138845
1982-08-09,-0.0060746,-0.00609313
1982-08-10,-0.00232834,-0.00233106
1982-08-11,-0.0023337,-0.00233643
1982-08-12,-0.00175439,-0.00175593
1982-08-13,0.01396212,0.01386555
1982-08-16,0.002311,0.00230834
1982-08-17,0.04755505,0.04645892
1982-08-18,-0.00458547,-0.00459602
1982-08-19,0.00571221,0.00569595
1982-08-20,0.03536087,0.03475004
1982-08-23,0.02734033,0.02697326
1982-08-24,-0.00654554,-0.00656705
1982-08-25,0.0193325,0.019148
1982-08-26,0.00824971,0.00821587
1982-08-27,-0.01214679,-0.01222117
1982-08-30,0.00469647,0.00468547
1982-08-31,0.01572326,0.01560093
1982-09-01,-0.01054307,-0.01059904
1982-09-02,0.01725159,0.01710447
1982-09-03,0.01986865,0.01967384
1982-09-07,-0.01067817,-0.01073559
1982-09-08,0.00683854,0.00681527
1982-09-09,-0.00188213,-0.0018839
1982-09-10,-0.00819874,-0.00823253
1982-09-13,0.01049844,0.01044372
1982-09-14,0.00703535,0.00701071
1982-09-15,0.00966696,0.00962053
1982-09-16,-0.0041838,-0.00419257
1982-09-17,-0.00985694,-0.00990584
1982-09-20,-0.0003264,-0.00032646
1982-09-21,0.01934532,0.01916058
1982-09-22,-0.00712684,-0.00715235
1982-09-23,-0.00145173,-0.00145279
1982-09-24,-0.00395766,-0.00396551
1982-09-27,0.00243272,0.00242977
1982-09-28,-0.00307398,-0.00307871
1982-09-29,-0.01306395,-0.01315003
1982-09-30,-0.0099482,-0.00999801
1982-10-01,0.01287164,0.01278951
1982-10-04,-0.00377141,-0.00377854
1982-10-05,0.003868,0.00386054
