date,open,high,low,close,volume,adjclose
2008-02-01,137.94000244140625,139.61000061035156,137.52000427246094,139.5800018310547,206843600,99.67510986328125
2008-02-04,139.2100067138672,139.3000030517578,137.63999938964844,137.82000732421875,124694300,98.4183349609375
2008-02-05,135.94000244140625,136.25,133.6699981689453,134.1300048828125,286882500,95.78324890136719
2008-02-06,134.5800018310547,135.25,132.41000366210938,133.0500030517578,250792900,95.01199340820312
2008-02-07,131.8000030517578,134.7899932861328,131.72999572753906,133.92999267578125,297368100,95.64044189453125
2008-02-08,133.08999633789062,134.22000122070312,132.10000610351562,133.07000732421875,221643500,95.02629852294922
2008-02-11,133.10000610351562,134.22999572753906,132.0399932861328,133.75,188576300,95.51192474365234
2008-02-12,134.91000366210938,136.30999755859375,133.97999572753906,134.99000549316406,256654400,96.39737701416016
2008-02-13,136.00999450683594,137.05999755859375,135.13999938964844,136.3699951171875,181967800,97.38285827636719
2008-02-14,136.9499969482422,137.0,134.7899932861328,135.1699981689453,215207200,96.52594757080078
2008-02-15,134.5,135.22000122070312,133.91000366210938,135.13999938964844,154110300,96.50448608398438
2008-02-19,136.72000122070312,136.88999938964844,134.61000061035156,135.52000427246094,145190000,96.77587127685547
2008-02-20,133.99000549316406,136.5500030517578,133.75999450683594,135.9199981689453,220085700,97.0615005493164
2008-02-21,136.66000366210938,137.00999450683594,134.07000732421875,134.7899932861328,201051200,96.25456237792969
2008-02-22,134.97000122070312,135.85000610351562,132.86000061035156,135.6199951171875,205491000,96.8472900390625
2008-02-25,135.5399932861328,137.64999389648438,134.77999877929688,137.3300018310547,190107000,98.06838989257812
2008-02-26,136.75,138.9499969482422,136.5,138.36000061035156,212420700,98.80393981933594
2008-02-27,137.55999755859375,139.13999938964844,137.41000366210938,138.22000122070312,168395800,98.7039566040039
2008-02-28,137.24000549316406,137.9600067138672,136.5500030517578,136.8699951171875,170831100,97.73989868164062
2008-02-29,135.60000610351562,135.67999267578125,132.77999877929688,133.82000732421875,252715200,95.56189727783203
2008-03-03,133.13999938964844,133.80999755859375,132.24000549316406,133.5,189483500,95.33338165283203
2008-03-04,132.22999572753906,133.39999389648438,130.99000549316406,132.99000549316406,282513100,94.96916961669922
2008-03-05,133.4199981689453,134.77000427246094,132.33999633789062,133.8300018310547,270681400,95.56904602050781
2008-03-06,132.97999572753906,133.22000122070312,130.5500030517578,131.05999755859375,247911700,93.59092712402344
2008-03-07,129.77000427246094,131.74000549316406,128.5800018310547,129.7100067138672,326434600,92.62687683105469
2008-03-10,129.83999633789062,129.92999267578125,127.58999633789062,128.0,235683600,91.40576171875
2008-03-11,130.72000122070312,132.72000122070312,128.9499969482422,132.60000610351562,341440600,94.69071197509766
2008-03-12,132.74000549316406,133.77000427246094,131.16000366210938,131.36000061035156,229161100,93.8051986694336
2008-03-13,129.61000061035156,132.63999938964844,128.60000610351562,131.64999389648438,351504200,94.01223754882812
2008-03-14,132.77000427246094,132.80999755859375,127.77999877929688,129.61000061035156,484687800,92.55550384521484
2008-03-17,126.56999969482422,129.25999450683594,126.06999969482422,128.3000030517578,405311100,91.61997985839844
2008-03-18,130.6199951171875,133.69000244140625,129.97999572753906,133.6300048828125,334416600,95.42619323730469
2008-03-19,134.13999938964844,134.64999389648438,130.0399932861328,130.32000732421875,345971600,93.06246185302734
2008-03-20,130.0500030517578,132.91000366210938,129.25999450683594,132.0800018310547,245320700,94.78628540039062
2008-03-24,133.30999755859375,135.80999755859375,133.24000549316406,134.72000122070312,208977300,96.68086242675781
2008-03-25,134.86000061035156,135.5500030517578,133.77000427246094,134.85000610351562,192947200,96.7741470336914
2008-03-26,134.4600067138672,135.08999633789062,133.11000061035156,133.1999969482422,196934300,95.5900650024414
2008-03-27,134.1999969482422,134.44000244140625,132.36000061035156,132.77999877929688,225153200,95.28865814208984
2008-03-28,132.99000549316406,133.36000061035156,131.05999755859375,131.50999450683594,180896100,94.37720489501953
2008-03-31,131.2899932861328,132.72999572753906,131.08999633789062,131.97000122070312,166692100,94.70734405517578
2008-04-01,133.61000061035156,136.83999633789062,133.50999450683594,136.61000061035156,254547300,98.03717041015625
2008-04-02,137.0500030517578,137.6699981689453,135.97999572753906,136.6999969482422,210910800,98.10179138183594
2008-04-03,135.9600067138672,137.44000244140625,135.7100067138672,137.0399932861328,175884800,98.3458023071289
2008-04-04,137.1199951171875,137.9600067138672,136.1199951171875,136.88999938964844,204446800,98.23815155029297
2008-04-07,137.8699951171875,138.57000732421875,136.74000549316406,136.9600067138672,154245500,98.28837585449219
2008-04-08,136.19000244140625,136.9199981689453,135.9499969482422,136.82000732421875,148937300,98.18792724609375
2008-04-09,136.61000061035156,136.8000030517578,134.88999938964844,135.8300018310547,195610600,97.4774398803711
2008-04-10,135.4199981689453,136.6699981689453,134.89999389648438,136.02000427246094,192967800,97.61381530761719
2008-04-11,134.49000549316406,135.1199951171875,133.00999450683594,133.3800048828125,222973300,95.71922302246094
2008-04-14,133.19000244140625,133.5399932861328,132.5500030517578,132.92999267578125,160522000,95.39627838134766
2008-04-15,133.5800018310547,133.69000244140625,132.3300018310547,133.24000549316406,172389200,95.61874389648438
2008-04-16,134.5399932861328,136.91000366210938,134.52000427246094,136.85000610351562,189268900,98.20945739746094
2008-04-17,136.02000427246094,137.25,135.66000366210938,137.0500030517578,179665700,98.35298156738281
2008-04-18,138.94000244140625,139.55999755859375,138.25999450683594,138.47999572753906,218530600,99.37916564941406
2008-04-21,138.22999572753906,138.97999572753906,137.85000610351562,138.5500030517578,118587400,99.429443359375
2008-04-22,138.19000244140625,138.30999755859375,136.89999389648438,137.94000244140625,162166000,98.99168395996094
2008-04-23,138.08999633789062,138.77999877929688,137.1199951171875,137.72000122070312,193309000,98.83380889892578
2008-04-24,138.0800018310547,139.74000549316406,137.0399932861328,138.32000732421875,229381300,99.2643814086914
2008-04-25,139.39999389648438,139.88999938964844,137.91000366210938,139.60000610351562,190788100,100.18301391601562
2008-04-28,139.8800048828125,140.25,139.3800048828125,139.6300048828125,105610200,100.20448303222656
2008-04-29,139.38999938964844,139.72999572753906,138.61000061035156,139.0800018310547,125514100,99.80976867675781
2008-04-30,139.2899932861328,140.58999633789062,138.25999450683594,138.25999450683594,208395900,99.22130584716797
2008-05-01,138.3800048828125,141.1199951171875,138.27000427246094,141.1199951171875,187279500,101.27377319335938
2008-05-02,142.33999633789062,142.3699951171875,140.55999755859375,141.50999450683594,181585500,101.55367279052734
2008-05-05,141.0500030517578,141.61000061035156,140.41000366210938,140.8300018310547,118504500,101.065673828125
2008-05-06,140.02000427246094,142.1999969482422,139.69000244140625,142.0500030517578,179339800,101.94117736816406
2008-05-07,141.88999938964844,142.0399932861328,139.1300048828125,139.52000427246094,199267300,100.12555694580078
2008-05-08,139.74000549316406,140.32000732421875,138.97999572753906,139.16000366210938,178321200,99.8671875
2008-05-09,138.60000610351562,139.38999938964844,138.4499969482422,138.89999389648438,152588200,99.68060302734375
2008-05-12,139.25,140.55999755859375,138.72999572753906,140.4600067138672,147865900,100.80017852783203
2008-05-13,140.8000030517578,140.88999938964844,139.72999572753906,140.47999572753906,159132200,100.81449890136719
2008-05-14,141.07000732421875,142.1999969482422,140.4600067138672,140.77000427246094,181910800,101.02259063720703
2008-05-15,141.0399932861328,142.6300048828125,140.8300018310547,142.52999877929688,166927000,102.28568267822266
2008-05-16,142.86000061035156,142.8699951171875,141.61000061035156,142.66000366210938,204236800,102.3789291381836
2008-05-19,142.80999755859375,144.3000030517578,142.3000030517578,143.0500030517578,165664400,102.65882110595703
2008-05-20,142.27000427246094,142.33999633789062,141.0,141.88999938964844,178552100,101.82638549804688
2008-05-21,141.80999755859375,142.1199951171875,139.0,139.49000549316406,252724800,100.10403442382812
2008-05-22,139.42999267578125,140.1699981689453,139.0,139.50999450683594,170820400,100.11836242675781
2008-05-23,139.0500030517578,139.66000366210938,137.52000427246094,137.63999938964844,181376400,98.77637481689453
2008-05-27,137.8000030517578,139.0,137.52999877929688,138.66000366210938,168322900,99.50835418701172
2008-05-28,139.1699981689453,140.0,138.0,139.3000030517578,181288100,99.96766662597656
2008-05-29,139.1300048828125,140.92999267578125,139.0800018310547,140.0,173927200,100.47001647949219
2008-05-30,140.47000122070312,140.74000549316406,139.94000244140625,140.35000610351562,117362000,100.7212142944336
2008-06-02,139.8300018310547,139.86000061035156,138.0,138.89999389648438,181069900,99.68060302734375
2008-06-03,139.3000030517578,139.6199951171875,137.22999572753906,138.08999633789062,271965700,99.09933471679688
2008-06-04,137.6999969482422,139.16000366210938,137.4600067138672,138.02000427246094,246637700,99.04910278320312
2008-06-05,138.5800018310547,140.88999938964844,138.32000732421875,140.77999877929688,237867100,101.02978515625
2008-06-06,139.5500030517578,139.8000030517578,136.22000122070312,136.2899932861328,384276300,97.80754852294922
2008-06-09,136.86000061035156,137.5,135.41000366210938,136.6199951171875,228263900,98.04437255859375
2008-06-10,135.6699981689453,137.10000610351562,135.35000610351562,135.94000244140625,260234900,97.55638122558594
2008-06-11,135.97000122070312,136.25999450683594,133.92999267578125,133.94000244140625,283890100,96.12110137939453
2008-06-12,134.60000610351562,135.8699951171875,133.52000427246094,134.4499969482422,252791800,96.48710632324219
2008-06-13,135.1699981689453,136.52000427246094,134.4199981689453,136.14999389648438,244726900,97.70706176757812
2008-06-16,135.5500030517578,136.92999267578125,135.4600067138672,136.22999572753906,185832500,97.76451110839844
2008-06-17,137.07000732421875,137.1199951171875,135.3699951171875,135.57000732421875,191707700,97.29086303710938
2008-06-18,134.69000244140625,135.52000427246094,133.7100067138672,134.25,265893000,96.34358215332031
2008-06-19,134.14999389648438,135.24000549316406,133.5,134.4199981689453,304204900,96.46553802490234
2008-06-20,132.83999633789062,133.08999633789062,131.22000122070312,131.5800018310547,289275700,94.89973449707031
2008-06-23,132.08999633789062,132.22999572753906,131.32000732421875,131.4499969482422,165096400,94.8060073852539
2008-06-24,131.0500030517578,132.44000244140625,130.19000244140625,131.19000244140625,267300600,94.61848449707031
2008-06-25,131.72000122070312,133.39999389648438,131.24000549316406,131.80999755859375,287853900,95.0656509399414
2008-06-26,130.57000732421875,131.4199981689453,128.0800018310547,128.22999572753906,297775000,92.483642578125
2008-06-27,128.27999877929688,128.86000061035156,127.04000091552734,127.52999877929688,303423400,91.97876739501953
2008-06-30,127.88999938964844,128.91000366210938,127.30000305175781,127.9800033569336,258842600,92.30329895019531
2008-07-01,126.5199966430664,128.47000122070312,125.93000030517578,128.3800048828125,388622000,92.59180450439453
2008-07-02,128.7899932861328,129.16000366210938,125.94999694824219,126.18000030517578,288064600,91.00511932373047
2008-07-03,127.11000061035156,127.11000061035156,124.98999786376953,126.30999755859375,239352500,91.09888458251953
