,Especie,Ticker,Spot,Moneyness,CallPut,Strike,TTM,impliedVolatility,Last,Bid,Ask,Avg,Tasa,Div,Precio_BS,Precio_BIN
16,TSLA220819C00800000,TSLA,911.8701171875,1.139837646484375,C,800.0,1,0.9345709667968749,112.73,111.25,113.65,112.45,0.00086,0.0,111.91993607882966,111.9183541705295
17,TSLA220819P00800000,TSLA,911.8701171875,1.139837646484375,P,800.0,1,0.70312796875,0.08,0.07,0.1,0.085,0.00086,0.0,0.0014664337044522635,0.001346876994092557
18,TSLA220819C00805000,TSLA,911.8701171875,1.1327579095496894,C,805.0,1,0.8911143701171874,112.0,106.0,108.85,107.425,0.00086,0.0,106.91832593854178,106.91688891207151
19,TSLA220819P00805000,TSLA,911.8701171875,1.1327579095496894,P,805.0,1,0.6718782812500002,0.09,0.08,0.09,0.08499999999999999,0.00086,0.0,0.0014737257924339608,0.0013422534498190174
20,TSLA220819C00810000,TSLA,911.8701171875,1.1257655767746915,C,810.0,1,0.8959971337890623,104.65,101.3,103.95,102.625,0.00086,0.0,101.94651477254263,101.94478959159402
21,TSLA220819P00810000,TSLA,911.8701171875,1.1257655767746915,P,810.0,1,0.64648791015625,0.08,0.08,0.1,0.09,0.00086,0.0,0.0016945031930306054,0.0015856243190590146
22,TSLA220819C00815000,TSLA,911.8701171875,1.1188590394938651,C,815.0,1,0.8051777294921875,100.95,96.2,98.55,97.375,0.00086,0.0,96.91520792398558,96.9140562315692
23,TSLA220819P00815000,TSLA,911.8701171875,1.1188590394938651,P,815.0,1,0.6250037500000001,0.11,0.09,0.11,0.1,0.00086,0.0,0.002147363579723338,0.0020147427948690785
24,TSLA220819C00820000,TSLA,911.8701171875,1.112036728277439,C,820.0,1,0.7946797875976561,92.1,91.45,93.55,92.5,0.00086,0.0,91.93312209286194,91.93118482746955
25,TSLA220819P00820000,TSLA,911.8701171875,1.112036728277439,P,820.0,1,0.5976602734375001,0.11,0.1,0.11,0.10500000000000001,0.00086,0.0,0.002392945956126491,0.002192109949598211
26,TSLA220819C00825000,TSLA,911.8701171875,1.1052971117424242,C,825.0,1,0.7419459399414061,91.54,86.3,88.55,87.425,0.00086,0.0,86.92493136075461,86.92378143280172
27,TSLA220819P00825000,TSLA,911.8701171875,1.1052971117424242,P,825.0,1,0.577152666015625,0.11,0.11,0.13,0.12,0.00086,0.0,0.0031606036762278356,0.0030132504910595818
28,TSLA220819C00830000,TSLA,911.8701171875,1.0986386954066265,C,830.0,1,0.8244646459960936,81.33,82.45,83.95,83.2,0.00086,0.0,82.06625160953183,82.0650619708444
29,TSLA220819P00830000,TSLA,911.8701171875,1.0986386954066265,P,830.0,1,0.551762294921875,0.14,0.12,0.14,0.13,0.00086,0.0,0.003756568807268823,0.003491297521152824
30,TSLA220819C00835000,TSLA,911.8701171875,1.0920600205838322,C,835.0,1,0.7141141870117188,81.89,76.45,78.95,77.7,0.00086,0.0,76.9732599286965,76.97224881812045
31,TSLA220819P00835000,TSLA,911.8701171875,1.0920600205838322,P,835.0,1,0.5351608984375,0.17,0.15,0.17,0.16,0.00086,0.0,0.005565238878214029,0.005306575879301839
32,TSLA220819C00840000,TSLA,911.8701171875,1.0855596633184523,C,840.0,1,0.7063017651367188,72.5,71.9,73.95,72.92500000000001,0.00086,0.0,72.02113033204864,72.01989023153374
33,TSLA220819P00840000,TSLA,911.8701171875,1.0855596633184523,P,840.0,1,0.5161181201171875,0.18,0.17,0.21,0.19,0.00086,0.0,0.007866830253840051,0.007622811677431658
